,id,n1_n2,n1_n3,n1_t1,n1_t2,n1_t3,n1_t4,n1_t5,n1_t6,n1_y1,n1_y2,n1_y3,n2_n3,n2_t1,n2_t2,n2_t3,n2_t4,n2_t5,n2_t6,n2_y1,n2_y2,n2_y3,n3_t1,n3_t2,n3_t3,n3_t4,n3_t5,n3_t6,n3_y1,n3_y2,n3_y3,t1_t2,t1_t3,t1_t4,t1_t5,t1_t6,t1_y1,t1_y2,t1_y3,t2_t3,t2_t4,t2_t5,t2_t6,t2_y1,t2_y2,t2_y3,t3_t4,t3_t5,t3_t6,t3_y1,t3_y2,t3_y3,t4_t5,t4_t6,t4_y1,t4_y2,t4_y3,t5_t6,t5_y1,t5_y2,t5_y3,t6_y1,t6_y2,t6_y3,y1_y2,y1_y3,y2_y3
10,CCPL00003i,0.396795523,0.365960282,0.320993809,0.378801549,0.371317554,0.369671395,0.393597844,0.369671395,0.372266975,0.372048127,0.389724259,0.367926467,0.308087916,0.373267502,0.371642395,0.377563651,0.393082295,0.377563651,0.380481208,0.383591967,0.42137614,0.313395828,0.350967279,0.377217164,0.355238521,0.364885155,0.355238521,0.356030538,0.347812867,0.367272333,0.310984505,0.309027948,0.302996105,0.319335596,0.302996105,0.310935881,0.311400699,0.301224217,0.348072098,0.369923673,0.544977399,0.369923673,0.363653724,0.357470202,0.366337601,0.363798244,0.361406316,0.363798244,0.365482648,0.366770204,0.383678848,0.376363239,1,0.451750221,0.464327613,0.38486274,0.376363239,0.371506896,0.376440656,0.390491094,0.451750221,0.464327613,0.38486274,0.519162391,0.377159053,0.374435816
11,CCPL00003p,0.321480394,0.281231514,0.356521106,0.353714791,0.388608662,0.391107614,0.336798415,0.319320617,0.34927586,0.344607615,0.343208435,0.268745148,0.321012175,0.320288,0.337437154,0.354516976,0.349262165,0.320798094,0.32303415,0.323446231,0.349909635,0.333009619,0.331018222,0.283057842,0.29706098,0.312263654,0.308913549,0.327928109,0.309013992,0.294779588,0.835148076,0.359126045,0.379474995,0.427758958,0.340122252,0.456082506,0.354694249,0.345446932,0.352586822,0.375636559,0.427419847,0.336136183,0.4534328,0.350872311,0.342328212,0.393649674,0.333480777,0.317817929,0.347132568,0.35045984,0.350235782,0.372142834,0.33119916,0.365982766,0.357648768,0.366818241,0.328150917,0.705584316,0.332893207,0.379505268,0.344119439,0.324104875,0.318263714,0.348719329,0.338881325,0.579028327
12,CCPL00007s,0.377931464,0.363044241,0.392509191,0.400229846,0.402480786,0.403750618,0.382224407,0.393858738,0.396749148,0.363056024,0.400673398,0.341738915,0.363028669,0.368434206,0.358283089,0.375017688,0.355168444,0.36870308,0.368359687,0.362558392,0.36843988,0.349038048,0.352142939,0.352626892,0.343627687,0.347514978,0.353797199,0.351528107,0.338255183,0.341055112,0.795363667,0.395460747,0.385469971,0.374258935,0.373272654,0.812968594,0.353605499,0.384967798,0.403306473,0.393804287,0.375032389,0.381896945,0.835648581,0.358732412,0.394396227,0.399819072,0.377308833,0.382943063,0.401266715,0.35466962,0.405247648,0.377695645,0.395439308,0.391371049,0.60828146,0.683952409,0.378892511,0.373909143,0.345263799,0.372720581,0.379828536,0.368016302,0.393644736,0.357319958,0.39309396,0.532789183
13,CCPL000081,0.355082268,0.309412079,0.375356821,0.362084885,0.365215722,0.369229692,0.364169731,0.370504598,0.36323768,0.367124524,0.367859099,0.319864016,0.37803319,0.36793287,0.356905577,0.360241477,0.36051719,0.365468772,0.355338797,0.358906175,0.357313136,0.303793928,0.311247053,0.302165638,0.312704527,0.304686579,0.310354965,0.30623394,0.302112094,0.304492635,0.388667379,0.385605262,0.410692818,0.383868702,0.400636585,0.381477415,0.386831918,0.385656479,0.382255383,0.38640889,0.376736733,0.39100585,0.386485232,0.38191417,0.386129779,0.37954177,0.784496029,0.672751648,0.713906295,0.813110092,0.750349423,0.377220229,0.385889464,0.381000757,0.380895088,0.379889205,0.658537065,0.683499742,0.796996255,0.706070436,0.746620492,0.668957319,0.713782102,0.703751792,0.78616274,0.732820262
14,CCPL00008b,0.311845928,0.337784195,0.299514868,0.325771376,0.297617404,0.338583663,0.277829923,0.29890525,0.296229604,0.294026115,0.295955865,0.328006719,0.314691772,0.34533014,0.314706533,0.342807135,0.289875364,0.311538047,0.305645767,0.307797133,0.312508302,0.312185686,0.33439818,0.309834003,0.359286284,0.299300194,0.309375583,0.304459082,0.304342312,0.3085318,0.327073245,0.734727499,0.323199438,0.279222975,0.691967828,0.692531987,0.673699093,0.739780331,0.324711374,0.348936806,0.296225314,0.320948258,0.318298818,0.316204372,0.325573017,0.326169452,0.278303148,0.693377713,0.687150278,0.681395389,0.751173975,0.298656267,0.323224582,0.318977935,0.315013683,0.324186361,0.274196836,0.273991196,0.27382618,0.277908684,0.720406797,0.747289932,0.701635878,0.70664305,0.701827814,0.681855485
15,CCPL000098,0.307935788,0.384694636,0.328306616,0.550209201,0.327966753,0.341905267,0.336253499,0.400821857,0.335954335,0.330506237,0.32382597,0.316839603,0.326968972,0.318599195,0.327970701,0.298329038,0.325608129,0.325550024,0.326464737,0.324836218,0.319717489,0.320948258,0.365467105,0.32053085,0.319684785,0.326007663,0.383783029,0.328886271,0.32446131,0.318298818,0.323823518,0.708405356,0.298848253,0.719161304,0.329970312,0.722662468,0.712599873,0.720406797,0.3225261,0.328955245,0.328923855,0.396329354,0.328772695,0.325280997,0.318737016,0.303994319,0.72766209,0.329487552,0.721282376,0.743613448,0.683534413,0.302769607,0.319434645,0.300640873,0.299634077,0.295739944,0.336034901,0.769700027,0.745709699,0.701667485,0.334610163,0.328307475,0.323890122,0.751833366,0.6999103,0.699897427
16,CCPL0000ak,0.342636606,0.205881582,0.399496045,0.307447412,0.401762242,0.386088121,0.379366578,0.368008445,0.68050674,0.386088121,0.398501771,0.205994848,0.343780231,0.30923575,0.358559521,0.347000569,0.352149026,0.353023068,0.343291469,0.347000569,0.345716751,0.193805274,0.257269277,0.184693708,0.235994537,0.19066701,0.240312985,0.205359074,0.235994537,0.19068612,0.300958015,0.415048389,0.330937616,0.386580255,0.369548132,0.398824849,0.330937616,0.393007794,0.309156168,0.317187633,0.311439403,0.30196475,0.31421794,0.317187633,0.304910334,0.35014724,0.390594728,0.389379213,0.395487238,0.35014724,0.397642267,0.336266009,0.346825548,0.387509394,1,0.35494098,0.347466172,0.372442583,0.336266009,0.385650914,0.363393221,0.346825548,0.359266403,0.387509394,0.394588617,0.35494098
17,CCPL0000al,0.332877054,0.324227912,0.292669587,0.333096864,0.329071341,0.339221886,0.327920727,0.309495836,0.333960593,0.338478698,0.327718706,0.356360711,0.279626423,0.379510928,0.354597037,0.364998224,0.347236255,0.302456646,0.374029534,0.374458792,0.361842377,0.265214563,0.417664594,0.379329935,0.363528123,0.383020837,0.270857279,0.374431927,0.448637489,0.367531798,0.285096654,0.268852084,0.272299109,0.286156457,0.253948788,0.287251659,0.278099017,0.282932481,0.378834151,0.372100922,0.380174189,0.290909846,0.391427244,0.430905353,0.387111397,0.350487922,0.400781542,0.282663922,0.360551314,0.393581782,0.363402282,0.355518258,0.292236309,0.379126532,0.39112718,0.364102717,0.284845491,0.361682617,0.395383584,0.359589256,0.319959258,0.297367256,0.294094287,0.392432953,0.370889591,0.378768586
18,CCPL0000am,0.322982697,0.375355138,0.272932949,0.353582103,0.313806164,0.37071642,0.389615844,0.366067089,0.371459718,0.379109858,0.342113819,0.319892658,0.261747947,0.32667192,0.311909019,0.332546385,0.322098066,0.32997733,0.327807202,0.322096983,0.317495146,0.254572153,0.348861431,0.286755767,0.40248705,0.421992233,0.370862843,0.372264663,0.399046078,0.335714413,0.285558163,0.296225487,0.258023114,0.24844857,0.26227682,0.284905653,0.249923341,0.28081857,0.326533946,0.356311753,0.350472264,0.343824525,0.35971667,0.351910807,0.357358058,0.29284868,0.292134755,0.296011279,0.308775829,0.289809893,0.320634828,0.405433387,0.378729144,0.383142852,0.411942476,0.346303354,0.3686855,0.386270434,0.417544252,0.343587439,0.366992173,0.378754081,0.360484477,0.393280684,0.363675792,0.349073204
19,CCPL0000b1,0.274844178,0.299361211,0.335734435,0.272086102,0.339110019,0.336417139,0.353505273,0.363689818,0.310421975,0.344130308,0.334982341,0.25480905,0.284022549,0.299653918,0.30109871,0.292269409,0.290129022,0.278133784,0.288288639,0.283347283,0.280277548,0.310663825,0.292607986,0.297637769,0.297369101,0.299109738,0.305047408,0.291068365,0.306818971,0.282968536,0.273911426,0.349899902,0.353492155,0.378902121,0.396106345,0.332719268,0.398014258,0.34327862,0.301599787,0.298760097,0.270927937,0.255941374,0.323122462,0.307134763,0.300124301,0.749118333,0.354903379,0.363135421,0.327103067,0.363650365,0.33464794,0.350710478,0.363740472,0.325083156,0.363306855,0.333415665,0.375221185,0.314945831,0.362839001,0.347645648,0.338334055,0.389890928,0.362811813,0.359728353,0.335754025,0.349680529
20,CCPL0000b2,0.383027802,0.381447574,0.388401902,0.395661855,0.372738996,0.406174112,0.381211033,0.322287216,0.370326492,0.395774427,0.199405202,0.362316747,0.362839001,0.359533522,0.344755637,0.380183875,0.367230682,0.33063744,0.366023479,0.367760582,0.216390209,0.367852552,0.372685546,0.361972073,0.378308699,0.368999171,0.314311446,0.364271939,0.369309878,0.198345201,0.40649791,0.408790203,0.393136413,0.371301822,0.309286145,0.376207009,0.403705298,0.207975021,0.395721733,0.402534277,0.367709687,0.311663694,0.37305353,0.397691749,0.192430654,0.368791606,0.362283492,0.306874459,0.368031248,0.389126519,0.219242166,0.388371756,0.31187836,0.3703916,0.403655496,0.19983294,0.325967001,0.380273442,0.372995415,0.210902832,0.320039275,0.313007005,0.260507357,0.379789091,0.202458048,0.200486207
21,CCPL0000ci,0.331756664,0.323948206,0.31620731,0.268256484,0.293765328,0.327395202,0.326179188,0.31357476,0.314268448,0.307105786,0.28373809,0.358440034,0.369252729,0.270323699,0.362772178,0.365128895,0.402222246,0.383054113,0.371994395,0.377027079,0.295937537,0.360897604,0.237417264,0.319977996,0.369969034,0.367163482,0.369108573,0.369731937,0.359791872,0.299663158,0.247893162,0.340235156,0.400369094,0.390045889,0.406821913,0.39127225,0.395608946,0.290600188,0.291187706,0.259478819,0.248680437,0.228389454,0.242818357,0.227524328,0.266877056,0.331740741,0.364016023,0.337476758,0.327502091,0.34207787,0.264109502,0.38686668,0.398446103,0.39745602,0.400462167,0.299392911,0.40299338,0.385912039,0.402563859,0.286399201,0.400672933,0.414056475,0.287902266,0.395346462,0.293986422,0.273214878
22,CCPL0000cy,0.338024143,0.334104482,0.301221519,0.333217662,0.327617429,0.339234973,0.334624561,0.333394087,0.321847762,0.344208048,0.332532836,0.38582876,0.332655468,0.358836302,0.381016518,0.402670748,0.358299838,0.338330599,0.315529957,0.371162013,0.357434087,0.355861007,0.366753135,0.39641872,0.415871534,0.350327327,0.33185142,0.322586488,0.377788945,0.376524594,0.324168194,0.345594781,0.370173691,0.304216142,0.312417543,0.299366506,0.374906061,0.358173919,0.352133955,0.367399019,0.34191397,0.332341172,0.329286839,0.345754516,0.351925115,0.426789614,0.350524954,0.333461209,0.311191788,0.381506086,0.356490043,0.355648459,0.335075563,0.332866745,0.394215455,0.372991704,0.340153167,0.292662984,0.343026671,0.325720504,0.303791648,0.324716476,0.32312882,0.314462034,0.314067009,0.367167976
23,CCPL0000db,0.292167961,0.332157463,0.291268563,0.321400245,0.298159792,0.315006479,0.297904353,0.317521106,0.26714777,0.32345654,0.328199883,0.324620056,0.308755871,0.323514128,0.307623172,0.358953007,0.299612608,0.348610034,0.336462939,0.334225551,0.320183317,0.312383886,0.371179422,0.282008659,0.355650075,0.346541312,0.356300607,0.304384094,0.373262365,0.360256286,0.326584963,0.315920963,0.313808782,0.309332979,0.3125727,0.286587572,0.326652092,0.30660483,0.312945212,0.359730878,0.334103677,0.352482203,0.298851433,0.373773539,0.348823604,0.310425783,0.29736695,0.308317499,0.292454202,0.306382543,0.292478137,0.315578034,0.69135459,0.291143521,0.485663906,0.34535556,0.314796206,0.304040455,0.334690253,0.331337349,0.287841962,0.49066565,0.344157471,0.298510386,0.299365054,0.354671624
24,CCPL0000dr,0.380377777,0.383440845,0.347433327,0.371504293,0.342343427,0.334270622,0.357030803,0.392395022,0.356951877,0.33213234,0.386422119,0.410157311,0.36167642,0.374286142,0.320563633,0.319733967,0.346521142,0.382485433,0.367988481,0.317429519,0.392451741,0.351512475,0.362414106,0.321799074,0.316020398,0.336149227,0.387061995,0.370494763,0.317996896,0.381115961,0.352112172,0.299365311,0.317429127,0.347004912,0.362738379,0.342636576,0.306741941,0.346794797,0.310152955,0.325555934,0.354819653,0.373421068,0.33961968,0.306749741,0.362801258,0.303940133,0.304785271,0.336483139,0.324078651,0.370322891,0.582741009,0.305848322,0.322214403,0.302431144,0.291335899,0.314167993,0.358322922,0.320480176,0.31385096,0.345107852,0.372365524,0.317871293,0.404282761,0.307884087,0.375781452,0.314716473
25,CCPL0000eu,0.32815301,0.321648574,0.367017115,0.372692561,0.348922446,0.384964132,0.349952465,0.374528726,0.36212272,0.338027835,0.375683725,0.308644055,0.322083466,0.344511961,0.335445743,0.336786216,0.32153748,0.343145636,0.321325582,0.327320399,0.341526302,0.326423366,0.312459823,0.311051104,0.310347167,0.305382244,0.313388737,0.328147993,0.29978501,0.308925639,0.36121621,0.337571216,0.386745127,0.364257867,0.37614974,0.783725413,0.341812712,0.37350576,0.348100011,0.383162892,0.350363383,0.369603775,0.348204039,0.648858566,0.369008608,0.345201137,0.325491973,0.342511937,0.334732825,0.334405012,0.339551928,0.388210218,0.434979566,0.378788488,0.340995121,0.436273664,0.378393966,0.358006651,0.324645173,0.376626374,0.370759829,0.331618415,0.794135633,0.332904252,0.367873272,0.327736038
26,CCPL0000i9,0.343172171,0.405368244,0.419143703,0.322732158,0.357036146,0.393442232,0.336639629,0.379697495,0.331838563,0.346231242,0.394554637,0.326677645,0.322344942,0.29061288,0.341304669,0.329585863,0.320886042,0.329716636,0.35471616,0.317266469,0.341013887,0.40724599,0.316077779,0.346382777,0.391883111,0.332209466,0.365495094,0.315238351,0.34609917,0.386798248,0.303184123,0.347906196,0.421608394,0.335929493,0.368736315,0.324015507,0.350605303,0.424737566,0.311942407,0.317805421,0.301570792,0.295209139,0.300633267,0.286101564,0.307834824,0.34675851,0.320533031,0.339034572,0.334689571,0.311999297,0.345857396,0.333748001,0.364807088,0.317187495,0.343638186,0.407143672,0.324834377,0.307409435,0.312076705,0.326583393,0.329711167,0.349955663,0.374385317,0.31497299,0.335089165,0.371891571
27,CCPL0000ib,0.361281807,0.320178038,0.410520645,0.308614464,0.395130447,0.396940372,0.282561234,0.373808875,0.422097635,0.35641597,0.389194757,0.318695224,0.344130308,0.314205731,0.337852719,0.33887134,0.314348817,0.33671382,0.351743599,0.337403102,0.342671663,0.319114046,0.28928852,0.315861991,0.330287775,0.318497328,0.326497361,0.323628442,0.3133839,0.311309785,0.314281779,0.405197631,0.407577254,0.280927866,0.383688909,0.400338131,0.380369378,0.395176932,0.312925514,0.297409177,0.291602366,0.299948859,0.303832668,0.306249386,0.314943854,0.401470738,0.285510853,0.380114328,0.405657673,0.353259136,0.406451126,0.280671659,0.396544981,0.396210006,0.367517984,0.391713085,0.29131275,0.279863458,0.288126235,0.276292673,0.394382966,0.376187372,0.370716084,0.357779247,0.381810059,0.366631138
28,CCPL0000ic,0.340562739,0.364942475,0.258289371,0.298499275,0.312999595,0.405397307,0.372241029,0.281464271,0.33583789,0.33583789,0.347797044,0.347960345,0.276568523,0.300973269,0.32733762,0.348543248,0.344875066,0.27664311,0.32492123,0.32492123,0.334598855,0.291932144,0.327986819,0.326449627,0.354743467,0.619405058,0.284325577,0.331632792,0.331632792,0.34338955,0.387143874,0.300265401,0.266676703,0.292718831,0.292420788,0.301847015,0.301847015,0.312239066,0.314668021,0.306270646,0.328235162,0.310441549,0.316318119,0.316318119,0.323405418,0.312616949,0.332024997,0.298029669,0.548619475,0.548619475,0.328680827,0.363888555,0.292714479,0.334237331,0.334237331,0.340844322,0.291316908,0.338034157,0.338034157,0.349166697,0.294727826,0.294727826,0.308558798,1,0.343237281,0.343237281
